id;name;nick;station;link;day;time;category;currentSeason;season;seen;links;notes
1;Sommerhaus der Stars;Sommerhaus;rtl;https://plus.rtl.de/video-tv/shows/das-sommerhaus-der-stars-kampf-der-promipaare-761973;di;20:15;tv;true;9;true,true,true,true,true,true,true,true,false;;
2;Radio Island;;spotify;https://open.spotify.com/show/1x7rYDZdA8U37afLWU78Hp;mo;00:00;podcast;true;;;;
3;Are you the One;AYTO;rtl;https://plus.rtl.de/video-tv/shows/are-you-the-one-859291;di;00:00;tv;false;5;true,true,true,true,false;;
6729;Are you the One - Realitystars in love;AYTO VIP;rtl;https://plus.rtl.de/video-tv/shows/are-you-the-one-reality-stars-in-love-895525;fr;20:15;tv;false;4;true,true,true,false;;
7be6;Good Luck Guys;;joyn;https://www.joyn.de/serien/good-luck-guys;do;20:15;tv;true;2;true,false;;
219a;Zdf Magazin Royale;;zdf;https://www.zdf.de/comedy/zdf-magazin-royale;fr;20:00;tv;true;;;;
7924;Testershire McTesterson;Testy;ard;https://www.irgendeine.url/zumtesten;mi;14:15;tv;true;3;false,true,false;;
8270;Dario Frank Rosin;Roseng;twitch;https://www.twitch.tv/numadario;fr;22:00;tv;true;;;;
d9ac;Wer stiehlt mir die Show;;joyn;https://www.joyn.de/serien/wer-stiehlt-mir-die-show;so;20:15;tv;true;8;true,true,true,true,true,true,true,false;;
8d88;Bachelorette;;rtl;https://plus.rtl.de/video-tv/shows/die-bachelorette-135881;mo;20:15;tv;true;11;true,true,true,true,true,true,true,true,true,true,false;;
516d;Temptation Island;;rtl;https://plus.rtl.de/video-tv/shows/temptation-island-vip-868824;mi;20:15;tv;true;5;true,true,true,true,false;;
0623;Princess Charming;;rtl;https://plus.rtl.de/video-tv/shows/princess-charming-883086;di;20:15;tv;false;4;true,true,true,true;;noch 2 offene Folgen
c39b;Weird Crimes;;spotify;https://open.spotify.com/show/5mUoxiityJLco71kEhTArI;do;12:00;podcast;true;;;https://www.instagram.com/weirdcrimes_podcast;this is a useful note!
59c6;7 vs. wild;;amazon;https://www.amazon.de/gp/video/detail/B0D1GV1C2M;di;20:15;tv;true;4;false,false,false,false;;
