id;link;label;collection;seen
dfjkal;https://youtu.be/IeY4AT_RnNo;Herbst/Winter 2024;Time Is Up;false
lofoid;https://youtu.be/XFw8dlm7tOA;Hitzesommer 2024;Time Is Up;false
jsdks;https://youtu.be/IeY4AT_RnNo;Test Link;;false
okoij;https://youtu.be/IeY4AT_RnNo;;;true
4187;http://www.test.de;test2;;true
bdf1;https://youtu.be/U8pLrRkqbb0;Climate Extremes;Klima;false
be20;https://youtu.be/Cy7UcHLtma0;Regensommer 2024;Time Is Up;false
3d94;https://youtu.be/66cLQ5lGyuw;Umweltupdate März 2024;Time Is Up;false
b18b;https://youtu.be/L4XFCuFbiOY;Nach diesem Video wirst du dich schämen ein Mensch zu sein;go vegan;true
3e3d;https://youtu.be/4i1YbzfYwk0;Vorzeigebetrieb Undercover infiltriert - Das bedeutet es Ei zu essen;go vegan;true
3cb2;https://youtu.be/V7DrljVAaYk;Dominion Deutsch;go vegan;true
544d;https://kein.label.de;;;false
389f;https://youtu.be/c2gwtROZiRE;Warum die 2 Staaten Lösung eine schlechte Idee ist;rote sonne;false
5615;https://youtu.be/2AKbCXiCJJM;Vegane Ernährung für Hunde;go vegan;true
b5d6;https://youtu.be/xZMKTIzsNfk;TJ Reacts Vita - Barbara was da los;Musik;true
